contact,campaign,pdays,emp.var.rate,nr.employed,has_loan,old_campaign,job,education,default,month,y
1,1,0,1.1,5191.0,0,0,housemaid,basic.4y,no,may,0
1,1,0,1.1,5191.0,0,0,services,high.school,unknown,may,0
1,1,0,1.1,5191.0,1,0,services,high.school,no,may,0
1,1,0,1.1,5191.0,0,0,admin.,basic.6y,no,may,0
1,1,0,1.1,5191.0,1,0,services,high.school,no,may,0
1,1,0,1.1,5191.0,0,0,services,basic.9y,unknown,may,0
1,1,0,1.1,5191.0,0,0,admin.,professional.course,no,may,0
1,1,0,1.1,5191.0,0,0,blue-collar,unknown,unknown,may,0
1,1,0,1.1,5191.0,1,0,technician,professional.course,no,may,0
1,1,0,1.1,5191.0,1,0,services,high.school,no,may,0
1,1,0,1.1,5191.0,0,0,blue-collar,unknown,unknown,may,0
1,1,0,1.1,5191.0,1,0,services,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,housemaid,basic.4y,no,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,basic.6y,no,may,0
1,1,0,1.1,5191.0,1,0,retired,basic.9y,unknown,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,basic.6y,no,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,basic.6y,unknown,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,basic.9y,no,may,0
1,1,0,1.1,5191.0,0,0,management,basic.9y,unknown,may,0
1,1,0,1.1,5191.0,0,0,unemployed,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,blue-collar,basic.4y,unknown,may,0
1,1,0,1.1,5191.0,1,0,retired,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,technician,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,admin.,high.school,no,may,0
1,1,0,1.1,5191.0,1,0,technician,university.degree,no,may,0
1,1,0,1.1,5191.0,1,0,technician,unknown,no,may,0
1,1,0,1.1,5191.0,0,0,self-employed,basic.9y,unknown,may,0
